Svið,Útgjaldaflokkur,Aukning á kjörtímabili,Hlutfall af allri aukningu,Uppsafnað hlutfall af allri aukningu,Útgjöld 2018,Útgjöld 2021
Velferðarsvið,Húsnæðisúrræði fyrir fatlaða,2451086982,10.4%,10.4%,4348919015,6800005997
Velferðarsvið,Búsetukjarnar,1003497008,4.3%,14.7%,1189227936,2192724944
Velferðarsvið,Skammtímadvöl,971400722,4.1%,18.8%,0,971400722
Velferðarsvið,Þjónusta v/velferðarmála,744691082,3.2%,22.0%,1400560131,2145251213
Þjónustu- og nýsköpunarsvið,Þróun upplýsingakerfa,591874779,2.5%,24.5%,0,591874779
Skóla- og frístundasvið,Dalskóli,497607622,2.1%,26.7%,557644540,1055252162
Þjónustu- og nýsköpunarsvið,Upplýsingatækniþjónusta,397283967,1.7%,28.3%,0,397283967
Þjónustu- og nýsköpunarsvið,Þjónustuhönnun,382209924,1.6%,30.0%,0,382209924
Umhverfis og skipulagssvið eignasjóður,Þjónustumiðstöð borgarlandsins,380741307,1.6%,31.6%,0,380741307
Velferðarsvið,Heimaþjónusta - dagþjónusta,380167582,1.6%,33.2%,1367559729,1747727311
Velferðarsvið,Hjúkrunarheimili,359165413,1.5%,34.7%,1225405406,1584570819
Umhverfis og skipulagssvið eignasjóður,Hverfastöð Njarðargötu,355775799,1.5%,36.3%,0,355775799
Skóla- og frístundasvið,Klettaskóli,354467444,1.5%,37.8%,965993824,1320461268
Velferðarsvið,Barnavernd Reykjavíkur,334278443,1.4%,39.2%,476271825,810550268
Skóla- og frístundasvið,Frístund Klettaskóla,315702799,1.3%,40.5%,567089483,882792282
Velferðarsvið,Húsnæðisaðstoð,286881600,1.2%,41.8%,341842529,628724129
Fjármála- og áhættustýringarsvið,Launaskrifstofa,278016387,1.2%,42.9%,0,278016387
Velferðarsvið,Keðjan,272744010,1.2%,44.1%,0,272744010
Íþrótta- og tómstundasvið,Hitt Húsið,271769482,1.2%,45.3%,163232957,435002439
Skóla- og frístundasvið,Nýsköpunarmiðstöð menntamála,263836967,1.1%,46.4%,19408151,283245118
Fjármála- og áhættustýringarsvið,Skrifstofa sviðsstjóra FÁST,259152494,1.1%,47.5%,0,259152494
Menningar- og ferðamálasvið,Borgarsögusafn,258841470,1.1%,48.6%,0,258841470
Skóla- og frístundasvið,Háaleitisskóli,242801483,1.0%,49.6%,733079974,975881457
Umhverfis og skipulagssvið eignasjóður,Hverfastöð Jafnaseli,240155069,1.0%,50.6%,0,240155069
Mannauðs- og starfsþróunarsvið,Skrifstofa sviðsstjóra MOS,239025163,1.0%,51.7%,0,239025163
Fjármála- og áhættustýringarsvið,Bókhaldsskrifstofa,235328048,1.0%,52.7%,0,235328048
Velferðarsvið,Heimahjúkrun,223844062,1.0%,53.6%,1206400637,1430244699
Velferðarsvið,Stuðningsþjónusta,220608079,0.9%,54.5%,438671180,659279259
Skóla- og frístundasvið,Frístundaheimili - Miðborg/Hlíðar,215751802,0.9%,55.5%,0,215751802
Skóla- og frístundasvið,Árbæjarskóli,208042859,0.9%,56.4%,700995531,909038390
Menningar- og ferðamálasvið,Borgarbókasafnið Grófinni,207858921,0.9%,57.2%,0,207858921
Skóla- og frístundasvið,Farteymi - Austur,207343185,0.9%,58.1%,55227207,262570392
Velferðarsvið,Önnur starfsemi,202259883,0.9%,59.0%,23458361,225718244
Velferðarsvið,Skrifstofa velferðarsviðs,195179369,0.8%,59.8%,575377420,770556789
Þjónustu- og nýsköpunarsvið,Rekstur stjórnsýsluhúsa og sameiginlegur kostnaður,194648758,0.8%,60.6%,0,194648758
Velferðarsvið,Dagþjónusta - Málefni fatlaðs fólks,192594415,0.8%,61.5%,306757988,499352403
Skóla- og frístundasvið,Vættaskóli,192585707,0.8%,62.3%,632759394,825345101
Skóla- og frístundasvið,Hlíðaskóli,171667283,0.7%,63.0%,685756493,857423776
Skóla- og frístundasvið,Fellaskóli,169207926,0.7%,63.7%,568961613,738169539
Umhverfis og skipulagssvið eignasjóður,Garðyrkja Miklatúni,168198575,0.7%,64.4%,0,168198575
