samtala0,samtala1,samtala2,samtala3,ar,arsfjordungur,raun,samtala4,dags
Húsnæðisúrræði fyrir fatlaða,Velferðarsvið,Búsetuúrræði,NA,2021,2,1854121287,NA,2021-04-01
Húsnæðisúrræði fyrir fatlaða,Velferðarsvið,Búsetuúrræði,NA,2021,3,1708058310,NA,2021-07-01
Húsnæðisúrræði fyrir fatlaða,Velferðarsvið,Búsetuúrræði,NA,2021,4,1691935432,NA,2021-10-01
Húsnæðisúrræði fyrir fatlaða,Velferðarsvið,Búsetuúrræði,NA,2021,1,1545890968,NA,2021-01-01
Breyting orlofsskuldbindingar,Sameiginlegur kostnaður,Starfsmannakostnaður,Starfsmannakostnaður,2021,4,1292729525,NA,2021-10-01
Breyting á lífeyrisskuldbindingu,Sameiginlegur kostnaður,Breyting á lífeyrisskuldbindingu,Breyting á lífeyrisskuldbindingu,2021,2,1020274556,NA,2021-04-01
Breyting á lífeyrisskuldbindingu,Sameiginlegur kostnaður,Breyting á lífeyrisskuldbindingu,Breyting á lífeyrisskuldbindingu,2021,1,971111223,NA,2021-01-01
Breyting á lífeyrisskuldbindingu,Sameiginlegur kostnaður,Breyting á lífeyrisskuldbindingu,Breyting á lífeyrisskuldbindingu,2021,3,858788931,NA,2021-07-01
Búsetukjarnar,Velferðarsvið,Búsetuúrræði,NA,2021,2,594537221,NA,2021-04-01
Þjónusta v/velferðarmála,Velferðarsvið,"Stjórnsýsla, sérfræðiþjónusta og ráðgjöf",NA,2021,2,575362289,NA,2021-04-01
Þjónusta v/velferðarmála,Velferðarsvið,"Stjórnsýsla, sérfræðiþjónusta og ráðgjöf",NA,2021,1,573557598,NA,2021-01-01
Búsetukjarnar,Velferðarsvið,Búsetuúrræði,NA,2021,3,565508299,NA,2021-07-01
Búsetukjarnar,Velferðarsvið,Búsetuúrræði,NA,2021,4,550765532,NA,2021-10-01
Þjónusta v/velferðarmála,Velferðarsvið,"Stjórnsýsla, sérfræðiþjónusta og ráðgjöf",NA,2021,4,498313428,NA,2021-10-01
Þjónusta v/velferðarmála,Velferðarsvið,"Stjórnsýsla, sérfræðiþjónusta og ráðgjöf",NA,2021,3,498017898,NA,2021-07-01
Búsetukjarnar,Velferðarsvið,Búsetuúrræði,NA,2021,1,481913892,NA,2021-01-01
Heimaþjónusta - dagþjónusta,Velferðarsvið,Heimaþjónusta og Heimahjúkrun,NA,2021,2,468405026,NA,2021-04-01
Heimaþjónusta - dagþjónusta,Velferðarsvið,Heimaþjónusta og Heimahjúkrun,NA,2021,3,465447213,NA,2021-07-01
Atvinnumál,Sameiginlegur kostnaður,Atvinnumál,Atvinnumál,2021,3,454423953,NA,2021-07-01
Heimahjúkrun,Velferðarsvið,Heimaþjónusta og Heimahjúkrun,NA,2021,2,438150962,NA,2021-04-01
Hjúkrunarheimili,Velferðarsvið,Hjúkrunarheimili,NA,2021,2,424526025,NA,2021-04-01
Heimaþjónusta - dagþjónusta,Velferðarsvið,Heimaþjónusta og Heimahjúkrun,NA,2021,4,412036346,NA,2021-10-01
Heimaþjónusta - dagþjónusta,Velferðarsvið,Heimaþjónusta og Heimahjúkrun,NA,2021,1,401838726,NA,2021-01-01
Hjúkrunarheimili,Velferðarsvið,Hjúkrunarheimili,NA,2021,3,400009040,NA,2021-07-01
Hjúkrunarheimili,Velferðarsvið,Hjúkrunarheimili,NA,2021,4,393845583,NA,2021-10-01
Heimahjúkrun,Velferðarsvið,Heimaþjónusta og Heimahjúkrun,NA,2021,1,386485674,NA,2021-01-01
Hjúkrunarheimili,Velferðarsvið,Hjúkrunarheimili,NA,2021,1,366190171,NA,2021-01-01
Klettaskóli,Skóla- og frístundasvið,Grunnskólar,Sérskólar,2021,2,361417276,NA,2021-04-01
Klettaskóli,Skóla- og frístundasvið,Grunnskólar,Sérskólar,2021,4,345951126,NA,2021-10-01
Klettaskóli,Skóla- og frístundasvið,Grunnskólar,Sérskólar,2021,1,341088327,NA,2021-01-01
Heimahjúkrun,Velferðarsvið,Heimaþjónusta og Heimahjúkrun,NA,2021,3,313214787,NA,2021-07-01
Heimahjúkrun,Velferðarsvið,Heimaþjónusta og Heimahjúkrun,NA,2021,4,292393276,NA,2021-10-01
Dalskóli,Skóla- og frístundasvið,Grunnskólar,"Sameinaðir leikskóli, grunnskóli og frístund",2021,4,283222976,NA,2021-10-01
Dalskóli,Skóla- og frístundasvið,Grunnskólar,"Sameinaðir leikskóli, grunnskóli og frístund",2021,2,279335726,NA,2021-04-01
Klettaskóli,Skóla- og frístundasvið,Grunnskólar,Sérskólar,2021,3,272004539,NA,2021-07-01
Nemendur Vinnuskóla,Umhverfis- og skipulagssvið aðalsjóður,Umhverfisgæði,Náttúra og garðar,2021,3,266125781,NA,2021-07-01
Frístund Klettaskóla,Skóla- og frístundasvið,Frístund,Frístundaheimili og frístundaklúbbar,2021,3,265923075,NA,2021-07-01
Háaleitisskóli,Skóla- og frístundasvið,Grunnskólar,Grunnskólar og tengdir liðir,2021,4,265342092,NA,2021-10-01
Dalskóli,Skóla- og frístundasvið,Grunnskólar,"Sameinaðir leikskóli, grunnskóli og frístund",2021,1,255777125,NA,2021-01-01
Langholtsskóli,Skóla- og frístundasvið,Grunnskólar,Grunnskólar og tengdir liðir,2021,4,252321674,NA,2021-10-01
Langholtsskóli,Skóla- og frístundasvið,Grunnskólar,Grunnskólar og tengdir liðir,2021,2,252096438,NA,2021-04-01
Háaleitisskóli,Skóla- og frístundasvið,Grunnskólar,Grunnskólar og tengdir liðir,2021,2,247803811,NA,2021-04-01
Árbæjarskóli,Skóla- og frístundasvið,Grunnskólar,Grunnskólar og tengdir liðir,2021,4,247030557,NA,2021-10-01
Frístund Klettaskóla,Skóla- og frístundasvið,Frístund,Frístundaheimili og frístundaklúbbar,2021,2,242518905,NA,2021-04-01
Háaleitisskóli,Skóla- og frístundasvið,Grunnskólar,Grunnskólar og tengdir liðir,2021,1,240188860,NA,2021-01-01
Langholtsskóli,Skóla- og frístundasvið,Grunnskólar,Grunnskólar og tengdir liðir,2021,1,237805915,NA,2021-01-01
Dalskóli,Skóla- og frístundasvið,Grunnskólar,"Sameinaðir leikskóli, grunnskóli og frístund",2021,3,236916335,NA,2021-07-01
Árbæjarskóli,Skóla- og frístundasvið,Grunnskólar,Grunnskólar og tengdir liðir,2021,2,234399546,NA,2021-04-01
Hlíðaskóli,Skóla- og frístundasvið,Grunnskólar,Grunnskólar og tengdir liðir,2021,4,226399723,NA,2021-10-01
Hlíðaskóli,Skóla- og frístundasvið,Grunnskólar,Grunnskólar og tengdir liðir,2021,2,225932357,NA,2021-04-01
Norðlingaskóli,Skóla- og frístundasvið,Grunnskólar,"Sameinaðir leikskóli, grunnskóli og frístund",2021,2,225866640,NA,2021-04-01
Norðlingaskóli,Skóla- og frístundasvið,Grunnskólar,"Sameinaðir leikskóli, grunnskóli og frístund",2021,4,225399569,NA,2021-10-01
Seljaskóli,Skóla- og frístundasvið,Grunnskólar,Grunnskólar og tengdir liðir,2021,2,224844586,NA,2021-04-01
Seljaskóli,Skóla- og frístundasvið,Grunnskólar,Grunnskólar og tengdir liðir,2021,4,224532720,NA,2021-10-01
Háaleitisskóli,Skóla- og frístundasvið,Grunnskólar,Grunnskólar og tengdir liðir,2021,3,222546694,NA,2021-07-01
Vættaskóli,Skóla- og frístundasvið,Grunnskólar,Grunnskólar og tengdir liðir,2021,2,221862634,NA,2021-04-01
Þróun upplýsingakerfa,Þjónustu- og nýsköpunarsvið,Stafræn Reykjavík,Stafræn Reykjavík,2021,3,219801209,NA,2021-07-01
Melaskóli,Skóla- og frístundasvið,Grunnskólar,Grunnskólar og tengdir liðir,2021,4,218239298,NA,2021-10-01
Skammtímadvöl,Velferðarsvið,Stuðnings- og stoðþjónusta,NA,2021,2,218048917,NA,2021-04-01
Frístund Klettaskóla,Skóla- og frístundasvið,Frístund,Frístundaheimili og frístundaklúbbar,2021,1,217866504,NA,2021-01-01
Norðlingaskóli,Skóla- og frístundasvið,Grunnskólar,"Sameinaðir leikskóli, grunnskóli og frístund",2021,1,217417549,NA,2021-01-01
Barnavernd Reykjavíkur,Velferðarsvið,"Stjórnsýsla, sérfræðiþjónusta og ráðgjöf",NA,2021,4,217185522,NA,2021-10-01
Árbæjarskóli,Skóla- og frístundasvið,Grunnskólar,Grunnskólar og tengdir liðir,2021,1,215954373,NA,2021-01-01
Langholtsskóli,Skóla- og frístundasvið,Grunnskólar,Grunnskólar og tengdir liðir,2021,3,215674413,NA,2021-07-01
Skrifstofa velferðarsviðs,Velferðarsvið,"Stjórnsýsla, sérfræðiþjónusta og ráðgjöf",NA,2021,2,213841678,NA,2021-04-01
Seljaskóli,Skóla- og frístundasvið,Grunnskólar,Grunnskólar og tengdir liðir,2021,1,212077103,NA,2021-01-01
Hlíðaskóli,Skóla- og frístundasvið,Grunnskólar,Grunnskólar og tengdir liðir,2021,1,212072614,NA,2021-01-01
Árbæjarskóli,Skóla- og frístundasvið,Grunnskólar,Grunnskólar og tengdir liðir,2021,3,211653914,NA,2021-07-01
Melaskóli,Skóla- og frístundasvið,Grunnskólar,Grunnskólar og tengdir liðir,2021,2,210000356,NA,2021-04-01
Vættaskóli,Skóla- og frístundasvið,Grunnskólar,Grunnskólar og tengdir liðir,2021,4,207248830,NA,2021-10-01
Vættaskóli,Skóla- og frístundasvið,Grunnskólar,Grunnskólar og tengdir liðir,2021,1,205234097,NA,2021-01-01
Barnavernd Reykjavíkur,Velferðarsvið,"Stjórnsýsla, sérfræðiþjónusta og ráðgjöf",NA,2021,2,203295714,NA,2021-04-01
Laugarnesskóli,Skóla- og frístundasvið,Grunnskólar,Grunnskólar og tengdir liðir,2021,2,203056043,NA,2021-04-01
Foldaskóli,Skóla- og frístundasvið,Grunnskólar,Grunnskólar og tengdir liðir,2021,2,200724094,NA,2021-04-01
Fellaskóli,Skóla- og frístundasvið,Grunnskólar,"Sameinaðir leikskóli, grunnskóli og frístund",2021,4,199104814,NA,2021-10-01
Barnavernd Reykjavíkur,Velferðarsvið,"Stjórnsýsla, sérfræðiþjónusta og ráðgjöf",NA,2021,3,198854088,NA,2021-07-01
Laugarnesskóli,Skóla- og frístundasvið,Grunnskólar,Grunnskólar og tengdir liðir,2021,4,198512742,NA,2021-10-01
Norðlingaskóli,Skóla- og frístundasvið,Grunnskólar,"Sameinaðir leikskóli, grunnskóli og frístund",2021,3,197025075,NA,2021-07-01
Sorphirða,Umhverfis- og skipulagssvið aðalsjóður,Umhverfisgæði,Úrgangsmál,2021,1,196272855,NA,2021-01-01
Foldaskóli,Skóla- og frístundasvið,Grunnskólar,Grunnskólar og tengdir liðir,2021,4,195269890,NA,2021-10-01
Melaskóli,Skóla- og frístundasvið,Grunnskólar,Grunnskólar og tengdir liðir,2021,1,194511177,NA,2021-01-01
Skrifstofa velferðarsviðs,Velferðarsvið,"Stjórnsýsla, sérfræðiþjónusta og ráðgjöf",NA,2021,3,193113423,NA,2021-07-01
Hlíðaskóli,Skóla- og frístundasvið,Grunnskólar,Grunnskólar og tengdir liðir,2021,3,193019082,NA,2021-07-01
Seljaskóli,Skóla- og frístundasvið,Grunnskólar,Grunnskólar og tengdir liðir,2021,3,192044459,NA,2021-07-01
Barnavernd Reykjavíkur,Velferðarsvið,"Stjórnsýsla, sérfræðiþjónusta og ráðgjöf",NA,2021,1,191214944,NA,2021-01-01
Vættaskóli,Skóla- og frístundasvið,Grunnskólar,Grunnskólar og tengdir liðir,2021,3,190999540,NA,2021-07-01
Fellaskóli,Skóla- og frístundasvið,Grunnskólar,"Sameinaðir leikskóli, grunnskóli og frístund",2021,2,188775425,NA,2021-04-01
Stuðningsþjónusta,Velferðarsvið,Stuðnings- og stoðþjónusta,NA,2021,2,188647366,NA,2021-04-01
Foldaskóli,Skóla- og frístundasvið,Grunnskólar,Grunnskólar og tengdir liðir,2021,1,188401492,NA,2021-01-01
Skammtímadvöl,Velferðarsvið,Stuðnings- og stoðþjónusta,NA,2021,4,188100427,NA,2021-10-01
Skrifstofa velferðarsviðs,Velferðarsvið,"Stjórnsýsla, sérfræðiþjónusta og ráðgjöf",NA,2021,4,187929443,NA,2021-10-01
Hólabrekkuskóli,Skóla- og frístundasvið,Grunnskólar,Grunnskólar og tengdir liðir,2021,4,186253650,NA,2021-10-01
Laugarnesskóli,Skóla- og frístundasvið,Grunnskólar,Grunnskólar og tengdir liðir,2021,1,184668206,NA,2021-01-01
Hagaskóli,Skóla- og frístundasvið,Grunnskólar,Grunnskólar og tengdir liðir,2021,2,184165224,NA,2021-04-01
Rimaskóli,Skóla- og frístundasvið,Grunnskólar,Grunnskólar og tengdir liðir,2021,4,184090981,NA,2021-10-01
Rimaskóli,Skóla- og frístundasvið,Grunnskólar,Grunnskólar og tengdir liðir,2021,2,183700761,NA,2021-04-01
Hagaskóli,Skóla- og frístundasvið,Grunnskólar,Grunnskólar og tengdir liðir,2021,4,181916724,NA,2021-10-01
Fellaskóli,Skóla- og frístundasvið,Grunnskólar,"Sameinaðir leikskóli, grunnskóli og frístund",2021,1,180185620,NA,2021-01-01
Skammtímadvöl,Velferðarsvið,Stuðnings- og stoðþjónusta,NA,2021,3,179972574,NA,2021-07-01
Hólabrekkuskóli,Skóla- og frístundasvið,Grunnskólar,Grunnskólar og tengdir liðir,2021,2,179679583,NA,2021-04-01
Stuðningsþjónusta,Velferðarsvið,Stuðnings- og stoðþjónusta,NA,2021,1,179478973,NA,2021-01-01
Þróun upplýsingakerfa,Þjónustu- og nýsköpunarsvið,Stafræn Reykjavík,Stafræn Reykjavík,2021,4,178660558,NA,2021-10-01
Hagaskóli,Skóla- og frístundasvið,Grunnskólar,Grunnskólar og tengdir liðir,2021,1,177776675,NA,2021-01-01
Sæmundarskóli,Skóla- og frístundasvið,Grunnskólar,Grunnskólar og tengdir liðir,2021,2,176681162,NA,2021-04-01
Rimaskóli,Skóla- og frístundasvið,Grunnskólar,Grunnskólar og tengdir liðir,2021,1,176304217,NA,2021-01-01
Foldaskóli,Skóla- og frístundasvið,Grunnskólar,Grunnskólar og tengdir liðir,2021,3,175895715,NA,2021-07-01
Ölduselsskóli,Skóla- og frístundasvið,Grunnskólar,Grunnskólar og tengdir liðir,2021,2,175696594,NA,2021-04-01
Skrifstofa velferðarsviðs,Velferðarsvið,"Stjórnsýsla, sérfræðiþjónusta og ráðgjöf",NA,2021,1,175672245,NA,2021-01-01
Húsnæðisaðstoð,Velferðarsvið,Búsetuúrræði,NA,2021,2,174990207,NA,2021-04-01
Melaskóli,Skóla- og frístundasvið,Grunnskólar,Grunnskólar og tengdir liðir,2021,3,174910098,NA,2021-07-01
